x_mm,run_label,global_id,threshold_pe,mean_t_ps,rms_t_ps,eff,included
0,Run 4,62,20,2884.894,386.659,1.000000,True
0,Run 4,63,20,3453.829,617.903,0.999500,True
0,Run 4,64,20,nan,nan,0.988500,False
0,Run 4,65,20,3708.213,669.029,0.997500,True
0,Run 4,66,20,nan,nan,0.976500,False
0,Run 4,67,20,4340.186,976.756,0.991000,True
0,Run 4,68,20,nan,nan,0.859000,False
0,Run 4,69,20,nan,nan,0.879500,False
0,Run 4,70,20,nan,nan,0.900000,False
0,Run 4,71,20,nan,nan,0.673500,False
0,Run 4,72,20,nan,nan,0.783500,False
0,Run 4,73,20,nan,nan,0.114000,False
0,Run 4,74,20,nan,nan,0.241000,False
0,Run 4,75,20,nan,nan,0.119500,False
0,Run 4,76,20,nan,nan,0.504000,False
0,Run 4,77,20,nan,nan,0.230500,False
0,Run 4,78,20,nan,nan,0.061000,False
0,Run 4,79,20,nan,nan,0.100000,False
0,Run 4,80,20,nan,nan,0.050500,False
0,Run 4,81,20,nan,nan,0.087500,False
0,Run 4,82,20,nan,nan,0.013000,False
0,Run 4,83,20,nan,nan,0.008500,False
0,Run 4,84,20,nan,nan,0.005000,False
0,Run 4,85,20,nan,nan,0.018500,False
