test_x,method,coefficients,train_positions
650.0,A_end,"[-574.5279597503984, -3.3861231077225744]",30
650.0,x_top_centroid_raw,"[1.2304156804145685, -0.5832448964825051]",30
650.0,local_R,"[40.280561930809185, -0.11794303937300353]",30
670.0,dt_end_pool,"[126.67625862319319, 0.299482288256261]",30
670.0,dt_end_weighted,"[91.46056292572692, 0.9406653846325387]",30
670.0,R_end,"[-167.88283611718833, 1.082571988872896]",30
670.0,A_end,"[-573.4916316791963, -3.954310572558392]",30
670.0,x_top_centroid_raw,"[1.2283217547049585, -1.0858068119990576]",30
670.0,local_R,"[40.06097916372043, -0.12429641536953719]",30
690.0,dt_end_pool,"[126.66426020301003, 0.26549099469330895]",30
690.0,dt_end_weighted,"[91.42130560876086, 0.8094223949514121]",30
690.0,R_end,"[-168.32967046456653, 1.7175297152155338]",30
690.0,A_end,"[-572.4127477385739, -4.54297887708421]",30
690.0,x_top_centroid_raw,"[1.2251763347956692, -1.8531274493103689]",30
690.0,local_R,"[40.09578143805998, -0.12549000678219596]",30
