material_code,material,variable,selection_code,selection,bin_low,bin_high,bin_center,count,density
0,EJ-200,rho_detour,1,random,2.940937933,3.00786682725,2.97440238013,331,0.0353253365542
0,EJ-200,rho_detour,1,random,3.00786682725,3.07479572149,3.04133127437,272,0.0290286753558
0,EJ-200,rho_detour,1,random,3.07479572149,3.14172461573,3.10826016861,253,0.0270009370037
0,EJ-200,rho_detour,1,random,3.14172461573,3.20865350997,3.17518906285,252,0.0268942139325
0,EJ-200,rho_detour,1,random,3.20865350997,3.27558240421,3.24211795709,223,0.0237992448689
0,EJ-200,rho_detour,1,random,3.27558240421,3.34251129845,3.30904685133,237,0.0252933678651
0,EJ-200,rho_detour,1,random,3.34251129845,3.4094401927,3.37597574557,209,0.0223051218726
0,EJ-200,rho_detour,1,random,3.4094401927,3.47636908694,3.44290463982,188,0.0200639373782
0,EJ-200,rho_detour,1,random,3.47636908694,3.54329798118,3.50983353406,188,0.0200639373782
0,EJ-200,rho_detour,1,random,3.54329798118,3.61022687542,3.5767624283,197,0.0210244450187
0,EJ-200,rho_detour,1,random,3.61022687542,3.67715576966,3.64369132254,133,0.0141941684644
0,EJ-200,rho_detour,1,random,3.67715576966,3.7440846639,3.71062021678,134,0.0143008915356
0,EJ-200,rho_detour,1,random,3.7440846639,3.81101355814,3.77754911102,136,0.0145143376779
0,EJ-200,rho_detour,1,random,3.81101355814,3.87794245239,3.84447800527,135,0.0144076146067
0,EJ-200,rho_detour,1,random,3.87794245239,3.94487134663,3.91140689951,142,0.0151546761048
0,EJ-200,rho_detour,1,random,3.94487134663,4.01180024087,3.97833579375,152,0.0162219068165
0,EJ-200,rho_detour,1,random,4.01180024087,4.07872913511,4.04526468799,150,0.0160084606741
0,EJ-200,rho_detour,1,random,4.07872913511,4.14565802935,4.11219358223,139,0.0148345068914
0,EJ-200,rho_detour,1,random,4.14565802935,4.21258692359,4.17912247647,143,0.015261399176
0,EJ-200,rho_detour,1,random,4.21258692359,4.27951581783,4.24605137071,105,0.0112059224719
0,EJ-200,rho_detour,1,random,4.27951581783,4.34644471208,4.31298026496,106,0.0113126455431
0,EJ-200,rho_detour,1,random,4.34644471208,4.41337360632,4.3799091592,114,0.0121664301123
0,EJ-200,rho_detour,1,random,4.41337360632,4.48030250056,4.44683805344,89,0.00949835333332
0,EJ-200,rho_detour,1,random,4.48030250056,4.5472313948,4.51376694768,80,0.00853784569287
