x_mm,group,side_role,N,n_events,n_reached,reach,frac_excluded,npe_mean,mean_ns,rms_ns,fit_mu_ns,sigma_fit_ns,sigma_fit_err_ns,fit_valid,fit_method,display_bin_width_ns,channels
150,top_nearest,top,20,2000,2000,1.0,0.0,317.7435,0.666763,0.068435,0.661888,0.065195,0.003683,True,fixed-25ps-gaussian-core,0.025,"(58,)"
200,end_left,far,4,2000,2000,1.0,0.0,44.4075,3.965188,0.180914,3.947468,0.17661,0.005511,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
200,end_right,near,4,2000,2000,1.0,0.0,146.177,2.333854,0.084044,2.339569,0.077618,0.00724,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
200,top_nearest,top,4,2000,2000,1.0,0.0,371.486,0.371797,0.048956,0.351524,0.013949,,False,mean-rms-ultrafine,0.025,"(60,)"
200,end_left,far,20,2000,1997,0.9985,0.0015,44.4075,5.208069,0.583076,5.072257,0.440456,0.013976,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
200,end_right,near,20,2000,2000,1.0,0.0,146.177,2.771127,0.133844,2.768359,0.125848,0.005635,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
200,top_nearest,top,20,2000,2000,1.0,0.0,371.486,0.678836,0.070445,0.675295,0.071509,0.00704,True,fixed-25ps-gaussian-core,0.025,"(60,)"
250,end_left,far,4,2000,2000,1.0,0.0,38.77,4.169567,0.191156,4.149343,0.185504,0.005538,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
250,end_right,near,4,2000,2000,1.0,0.0,172.473,2.135512,0.075644,2.146355,0.06208,0.008602,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
250,top_nearest,top,4,2000,2000,1.0,0.0,317.4615,0.365675,0.046317,0.342582,0.007068,,False,mean-rms-ultrafine,0.025,"(63,)"
250,end_left,far,20,2000,1994,0.997,0.003,38.77,5.641654,0.770435,5.436178,0.520832,0.020895,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
250,end_right,near,20,2000,2000,1.0,0.0,172.473,2.522073,0.112394,2.51898,0.113387,0.004048,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
250,top_nearest,top,20,2000,2000,1.0,0.0,317.4615,0.665943,0.070002,0.662161,0.069359,0.005472,True,fixed-25ps-gaussian-core,0.025,"(63,)"
300,end_left,far,4,2000,2000,1.0,0.0,34.0425,4.412708,0.219555,4.382974,0.20688,0.007313,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
300,end_right,near,4,2000,2000,1.0,0.0,202.019,1.924242,0.065432,1.935567,0.047335,0.008519,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
300,top_nearest,top,4,2000,2000,1.0,0.0,369.9095,0.371508,0.047821,0.34684,0.009628,,False,mean-rms-ultrafine,0.025,"(65,)"
300,end_left,far,20,2000,1957,0.9785,0.0215,34.0425,6.216792,1.007816,5.870138,0.631037,0.025159,True,fixed-25ps-gaussian-core,0.025,"(4, 5, 6, 7)"
300,end_right,near,20,2000,2000,1.0,0.0,202.019,2.268668,0.104144,2.264393,0.103859,0.003617,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
300,top_nearest,top,20,2000,2000,1.0,0.0,369.9095,0.678412,0.0684,0.674815,0.069311,0.005607,True,fixed-25ps-gaussian-core,0.025,"(65,)"
350,end_left,far,4,2000,2000,1.0,0.0,31.5085,4.612217,0.242103,4.567601,0.214528,0.007592,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
350,end_right,near,4,2000,2000,1.0,0.0,248.824,1.722678,0.056421,1.728134,0.032754,0.004279,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
350,top_nearest,top,4,2000,2000,1.0,0.0,317.5865,0.364952,0.045819,0.3404,0.008019,,False,mean-rms-ultrafine,0.025,"(68,)"
350,end_left,far,20,2000,1909,0.9545,0.0455,31.5085,6.628035,1.300385,6.206673,0.678657,0.022401,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
350,end_right,near,20,2000,2000,1.0,0.0,248.824,2.015474,0.088328,2.016363,0.087156,0.003029,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
350,top_nearest,top,20,2000,2000,1.0,0.0,317.5865,0.666137,0.070088,0.662783,0.069667,0.005069,True,fixed-25ps-gaussian-core,0.025,"(68,)"
400,end_left,far,4,2000,2000,1.0,0.0,27.773,4.828569,0.249959,4.784911,0.228903,0.007882,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
400,end_right,near,4,2000,2000,1.0,0.0,300.04,1.516826,0.046098,1.516415,0.019383,,False,mean-rms-ultrafine,0.025,"(8, 9, 10, 11)"
400,top_nearest,top,4,2000,2000,1.0,0.0,366.2775,0.375517,0.051004,0.353989,0.013495,,False,mean-rms-ultrafine,0.025,"(70,)"
400,end_left,far,20,2000,1770,0.885,0.115,27.773,7.193113,1.443276,6.649222,0.821553,0.03033,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
400,end_right,near,20,2000,2000,1.0,0.0,300.04,1.783593,0.079691,1.783485,0.076513,0.002139,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
