scenario,wavelength_nm_created,folded_exit_angle_deg,finite_beta_edge_deg,d_axial_mm,group_velocity_mm_ns,propagation_time_ns,predicted_angular_penalty_ps,observed_edge_excess_ps,is_upper_5pct_angle_tail
visible_lower_764mm,480.67067532,39.0995771348,38.84196869,49.9551641893,169.170412519,0.348476780391,1.38143673047,-30.651441409,0
visible_lower_764mm,405.910499997,38.0726619353,37.9668470251,49.7010153021,163.793513749,0.342031776179,0.556156048281,-42.8613903681,0
visible_lower_764mm,420.762552146,42.405252351,38.1595689044,49.920918064,164.895711688,0.36886623589,24.9765453391,-16.1586032527,0
visible_lower_764mm,524.896427646,39.2953130562,39.2586367553,49.5004337905,172.119128789,0.343376662587,0.194494035283,-28.0492015702,0
visible_lower_764mm,429.801795223,42.4778005357,38.2720665396,49.5000074409,165.559117864,0.363672699856,24.5475281553,-17.1642782382,0
visible_lower_764mm,584.782643644,40.1079333499,39.7234077061,49.6699995287,175.794159289,0.348483555757,2.06835662342,-18.8707610581,0
visible_lower_764mm,450.44095418,72.5551024456,38.5158679245,49.5002936355,167.050366321,0.871348395933,609.714643942,492.634123554,1
visible_lower_764mm,383.761751496,41.228705569,37.6604845371,49.4993900045,162.124069484,0.358046442214,20.286844802,-27.6288549262,0
visible_lower_764mm,551.244168077,39.6732486479,39.4761515839,49.6023080809,173.782601934,0.346482228497,1.05286863357,-23.295358607,0
visible_lower_764mm,491.087775948,39.2651068623,38.9463077388,49.836422286,169.881904964,0.347563024238,1.70983253897,-29.6336803365,0
visible_lower_764mm,444.077452378,44.9755625444,38.4425941062,49.4991474073,166.594194064,0.379940922772,40.6611343188,0.584252264448,0
visible_lower_764mm,681.355665672,40.56301069,40.2798633039,49.5004680977,184.501902907,0.345510493976,1.48334406327,-6.16600493445,0
visible_lower_764mm,766.592211186,40.3373381762,40.6222266722,49.500417846,192.515394531,0.341236768478,-1.43453810837,2.47774645962,0
visible_lower_764mm,510.776517989,39.2307623936,39.1329336655,49.4997473627,171.198489714,0.344050914316,0.519099026171,-28.6996855438,0
visible_lower_764mm,588.743660662,39.8152897053,39.7505709855,49.5007839337,176.023756274,0.345037724703,0.344182498541,-20.7316897579,0
visible_lower_764mm,520.770690295,40.5021011542,39.2225882125,49.8493103329,171.852208303,0.356019347176,7.0481513876,-18.4128094677,0
