sample,material,material_code,source_type,source,nominal_d_mm,mean_d_direct_mm,mean_tprop_ns,se_tprop_ns,mirror_low_ns,mirror_high_ns,mirror_delta_ns,mirror_pull,n_total,var_tprop_ns2
all_photons,EJ-204,1,2,Cherenkov,50,52.5724577851,0.724155550519,0.000925221414957,0.72310919068,0.725201910357,-0.00209271967631,-1.13092911733,1405983,1.15081616466
all_photons,EJ-204,1,2,Cherenkov,200,200.306842714,2.08717479031,0.00201309178043,2.08312579994,2.09122378069,0.00809798075146,2.01132924742,770654,2.91972336282
all_photons,EJ-204,1,2,Cherenkov,500,499.817189678,4.34665722072,0.00381982368429,4.34516923103,4.34814521041,-0.00297597938494,-0.389544077279,338124,4.6214947801
all_photons,EJ-204,1,2,Cherenkov,700,699.724332186,5.89008296308,0.00544761610092,5.88450086837,5.89566505778,0.0111641894089,1.02468577099,211143,5.89210615888
all_photons,EJ-204,1,2,Cherenkov,900,899.667792659,7.38034814316,0.00682574213309,7.36690404548,7.39379224084,-0.0268881953526,-1.96961699024,141961,6.06615396395
all_photons,EJ-204,1,2,Cherenkov,1200,1199.55868651,9.57942633855,0.00838937753383,9.55959932226,9.59925335484,-0.0396540325809,-2.36334772282,86255,5.37718635919
all_photons,EJ-204,1,2,Cherenkov,1350,1349.62454557,10.2702056203,0.00781908826301,10.254213491,10.2861977496,0.0319842586384,2.04526778331,78225,4.59510233287
all_photons,EJ-230,2,1,scintillation,50,52.2094089815,0.576876544352,0.000101837007592,0.576787474742,0.576965613962,-0.000178139220574,-0.874629099905,41821497,0.38406006748
all_photons,EJ-230,2,1,scintillation,200,197.356728618,1.63683368109,0.000206431660834,1.63678536001,1.63688200218,9.6642168989e-05,0.23407787497,21796797,0.901385598576
all_photons,EJ-230,2,1,scintillation,500,490.662444289,3.50570422053,0.000435728292418,3.50553450424,3.50587393681,0.000339432571225,0.389500265568,9443826,1.76309913554
all_photons,EJ-230,2,1,scintillation,700,686.02482507,4.70907348213,0.000644813166032,4.70829956201,4.70984740225,-0.00154784023773,-1.20022381619,5917781,2.47194762211
all_photons,EJ-230,2,1,scintillation,900,881.05111968,5.90190191638,0.000921586374175,5.90096081725,5.90284301552,0.00188219827119,1.02117301424,3850367,3.2707247794
all_photons,EJ-230,2,1,scintillation,1200,1173.42984504,7.70168216565,0.00137572718278,7.70157295932,7.70179137199,-0.000218412667668,-0.0793808068933,2219198,4.25269741115
all_photons,EJ-230,2,1,scintillation,1350,1319.07307874,8.53529469446,0.00155292186326,8.53456461086,8.53602477807,-0.00146016720671,-0.470135439927,1776575,4.34160101574
all_photons,EJ-230,2,2,Cherenkov,50,52.5656526347,0.689099170417,0.000727497905603,0.688451292742,0.689747048093,-0.00129575535148,-0.890556069988,1365570,0.672148852451
all_photons,EJ-230,2,2,Cherenkov,200,200.303716487,1.99244090162,0.00169316967406,1.99014823977,1.99473356346,0.00458532369425,1.35406503096,710954,1.89922052595
all_photons,EJ-230,2,2,Cherenkov,500,499.819866838,4.20372511314,0.0033285584455,4.20360276856,4.20384745773,-0.000244689164102,-0.0367560263863,284803,3.00356763695
all_photons,EJ-230,2,2,Cherenkov,700,699.724318811,5.6958059984,0.00496436784644,5.69040212707,5.70120986973,0.010807742651,1.0885316102,167268,3.8334093991
all_photons,EJ-230,2,2,Cherenkov,900,899.653986221,7.1766710214,0.006607606491,7.17121266274,7.18212938005,-0.0109167173124,-0.826071991976,106314,4.22979838314
all_photons,EJ-230,2,2,Cherenkov,1200,1199.62268163,9.39606607164,0.00843344042954,9.39144869996,9.40068344332,-0.00923474336533,-0.547507475892,59360,3.87782011668
