material,source_type,nominal_d_mm,angle_low_deg,angle_high_deg,material_code,source,n_photons,mean_tprop_ns,var_tprop_ns2
EJ-230,1,900,45,60,2,scintillation,589669,7.51110965969,4.06643603282
EJ-230,1,900,60,90,2,scintillation,92973,7.43764825087,31.9564662186
EJ-230,1,900,90,120,2,scintillation,13212,9.45229756693,23.3012821493
EJ-230,1,900,120,180.0000001,2,scintillation,119570,7.11946809706,3.99392423363
EJ-230,1,1200,0,15,2,scintillation,393445,6.41721579084,0.274120026896
EJ-230,1,1200,15,30,2,scintillation,729171,6.8526372515,0.463884897158
EJ-230,1,1200,30,39.2652479139,2,scintillation,433924,7.6919299522,0.983340293721
EJ-230,1,1200,39.2652479139,45,2,scintillation,258757,8.8429166137,2.58612597844
EJ-230,1,1200,45,60,2,scintillation,294307,9.97982267004,5.37339770687
EJ-230,1,1200,60,90,2,scintillation,41651,8.55821762956,58.580611942
EJ-230,1,1200,90,120,2,scintillation,5311,11.7575835416,45.1183384353
EJ-230,1,1200,120,180.0000001,2,scintillation,62632,9.38940949089,4.77439791779
EJ-230,1,1350,0,15,2,scintillation,324766,7.19100452103,0.273402775008
EJ-230,1,1350,15,30,2,scintillation,572789,7.6734453343,0.517480480314
EJ-230,1,1350,30,39.2652479139,2,scintillation,335163,8.57384458918,0.994138786593
EJ-230,1,1350,39.2652479139,45,2,scintillation,207555,9.65816821571,1.90376678708
EJ-230,1,1350,45,60,2,scintillation,255315,10.9194505901,4.83287601972
EJ-230,1,1350,60,90,2,scintillation,26914,7.62456474448,74.0359168924
EJ-230,1,1350,90,120,2,scintillation,3122,11.6134603658,69.2623830364
EJ-230,1,1350,120,180.0000001,2,scintillation,50951,10.3105268112,4.29088012924
EJ-230,2,50,0,15,2,Cherenkov,2758,0.274863393255,0.228190800586
EJ-230,2,50,15,30,2,Cherenkov,7353,0.283441605853,0.0603132865733
EJ-230,2,50,30,39.2652479139,2,Cherenkov,6305,0.324586021129,0.211212687423
EJ-230,2,50,39.2652479139,45,2,Cherenkov,355561,0.408873201653,1.13637041406
EJ-230,2,50,45,60,2,Cherenkov,374814,0.441441832897,0.195638313079
EJ-230,2,50,60,90,2,Cherenkov,454886,1.09979449036,0.488295662311
EJ-230,2,50,90,120,2,Cherenkov,87483,1.04328747622,0.246624652311
EJ-230,2,50,120,180.0000001,2,Cherenkov,76410,0.441512212075,0.635724157865
EJ-230,2,200,0,15,2,Cherenkov,1918,1.06894266234,0.0867725014054
EJ-230,2,200,15,30,2,Cherenkov,5442,1.14728858462,0.0722220744734
EJ-230,2,200,30,39.2652479139,2,Cherenkov,4992,1.29522881983,0.260552256567
EJ-230,2,200,39.2652479139,45,2,Cherenkov,253394,1.49562472499,1.625805814
EJ-230,2,200,45,60,2,Cherenkov,226425,1.73007838895,0.374112827367
EJ-230,2,200,60,90,2,Cherenkov,141958,3.22960587306,2.63524511169
EJ-230,2,200,90,120,2,Cherenkov,27527,3.29447733975,2.53638907175
EJ-230,2,200,120,180.0000001,2,Cherenkov,49298,1.66139215523,1.06260498571
EJ-230,2,500,0,15,2,Cherenkov,1208,2.6966950663,0.341514262617
EJ-230,2,500,15,30,2,Cherenkov,2814,2.88466962926,0.204840015603
EJ-230,2,500,30,39.2652479139,2,Cherenkov,2309,3.2901896585,0.899828174761
EJ-230,2,500,39.2652479139,45,2,Cherenkov,137669,3.66864709375,2.28164678722
EJ-230,2,500,45,60,2,Cherenkov,88433,4.26837601614,0.973848438974
EJ-230,2,500,60,90,2,Cherenkov,26523,6.69892868969,5.16776461823
EJ-230,2,500,90,120,2,Cherenkov,4865,6.82298220141,5.92877377651
EJ-230,2,500,120,180.0000001,2,Cherenkov,20982,4.04478551968,1.80279284049
EJ-230,2,700,0,15,2,Cherenkov,1047,3.78380109612,0.317134408227
EJ-230,2,700,15,30,2,Cherenkov,2288,4.03075452606,0.119256063976
EJ-230,2,700,30,39.2652479139,2,Cherenkov,1725,4.59831820809,1.00730852841
EJ-230,2,700,39.2652479139,45,2,Cherenkov,90251,5.17311677605,2.92296210515
EJ-230,2,700,45,60,2,Cherenkov,45610,5.94482134007,1.45400833541
EJ-230,2,700,60,90,2,Cherenkov,11074,9.01981321325,5.76236480956
EJ-230,2,700,90,120,2,Cherenkov,2141,9.20387162951,6.97549012665
EJ-230,2,700,120,180.0000001,2,Cherenkov,13132,5.63464930794,3.16148323835
EJ-230,2,900,0,15,2,Cherenkov,852,4.83304792746,0.133063568843
EJ-230,2,900,15,30,2,Cherenkov,1527,5.17243002058,0.153490757559
EJ-230,2,900,30,39.2652479139,2,Cherenkov,1092,5.86334822787,0.574246901856
EJ-230,2,900,39.2652479139,45,2,Cherenkov,64557,6.70277069901,3.0898728422
EJ-230,2,900,45,60,2,Cherenkov,24462,7.69094218316,1.99293493067
EJ-230,2,900,60,90,2,Cherenkov,4811,11.565207268,5.45881100859
EJ-230,2,900,90,120,2,Cherenkov,901,11.6529715682,6.06472472272
EJ-230,2,900,120,180.0000001,2,Cherenkov,8112,7.09788946288,3.00039470253
EJ-230,2,1200,0,15,2,Cherenkov,484,6.45706685808,0.100714995305
EJ-230,2,1200,15,30,2,Cherenkov,936,6.9262731947,0.132906376994
