cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns,boundary_category,stratum_n,stratum_mean_tprop_ns,stratum_se_cluster_ns,stratum_var_tprop_ns2
EJ200_xm200,EJ-200,-200,right,1,scintillation,900.0,3849227,884.7506414474694,115.61470798028755,6.36632541663332,0.001389063804399797,7.488434608102928,1207.9662521977284,1.3793933304029486,150.8230671443118,3-5,77966,4.729464710695562,0.0023270108296929346,0.418310338344682
EJ200_xm200,EJ-200,-200,right,1,scintillation,900.0,3849227,884.7506414474694,115.61470798028755,6.36632541663332,0.001389063804399797,7.488434608102928,1207.9662521977284,1.3793933304029486,150.8230671443118,6-10,197776,4.883610961504239,0.0011968020657860407,0.2746947799045536
EJ200_xm200,EJ-200,-200,right,1,scintillation,900.0,3849227,884.7506414474694,115.61470798028755,6.36632541663332,0.001389063804399797,7.488434608102928,1207.9662521977284,1.3793933304029486,150.8230671443118,>10,3489848,6.603562411771138,0.0014436500666262962,7.310287264744183
EJ200_xm200,EJ-200,-200,left,2,Cherenkov,500.0,231458,499.8192959678192,0.6113409843526274,4.873809873753228,0.007548758430500318,12.212968824383953,924.7655405902909,1.8501096677729514,121.4347164656322,0,12,2.6265923450154545,0.0025428525641809827,5.965262591800524e-05
EJ200_xm200,EJ-200,-200,left,2,Cherenkov,500.0,231458,499.8192959678192,0.6113409843526274,4.873809873753228,0.007548758430500318,12.212968824383953,924.7655405902909,1.8501096677729514,121.4347164656322,1-2,118,2.644239054157775,0.0025393186295440888,0.0006662658793423759
EJ200_xm200,EJ-200,-200,left,2,Cherenkov,500.0,231458,499.8192959678192,0.6113409843526274,4.873809873753228,0.007548758430500318,12.212968824383953,924.7655405902909,1.8501096677729514,121.4347164656322,3-5,433,2.7507176649148333,0.03425106374654078,0.5049190441808351
EJ200_xm200,EJ-200,-200,left,2,Cherenkov,500.0,231458,499.8192959678192,0.6113409843526274,4.873809873753228,0.007548758430500318,12.212968824383953,924.7655405902909,1.8501096677729514,121.4347164656322,6-10,926,2.9001867617940253,0.014101580429689838,0.15965775402588633
EJ200_xm200,EJ-200,-200,left,2,Cherenkov,500.0,231458,499.8192959678192,0.6113409843526274,4.873809873753228,0.007548758430500318,12.212968824383953,924.7655405902909,1.8501096677729514,121.4347164656322,>10,229969,4.887015696690921,0.00746701959059148,12.263291155728204
EJ200_xm200,EJ-200,-200,right,2,Cherenkov,900.0,120404,899.6724259920761,1.3035971540542546,8.006269407254754,0.011326388841258124,14.292840461017306,1519.1256384161725,1.6884964282090797,124.58333727565457,0,7,4.726507208258609,0.008209045795487488,0.00047167185820029545
EJ200_xm200,EJ-200,-200,right,2,Cherenkov,900.0,120404,899.6724259920761,1.3035971540542546,8.006269407254754,0.011326388841258124,14.292840461017306,1519.1256384161725,1.6884964282090797,124.58333727565457,1-2,30,4.7483373135588165,0.0023811266789987543,0.00016763156617116692
EJ200_xm200,EJ-200,-200,right,2,Cherenkov,900.0,120404,899.6724259920761,1.3035971540542546,8.006269407254754,0.011326388841258124,14.292840461017306,1519.1256384161725,1.6884964282090797,124.58333727565457,3-5,109,4.829639376683332,0.04826892660835396,0.2515414555026183
EJ200_xm200,EJ-200,-200,right,2,Cherenkov,900.0,120404,899.6724259920761,1.3035971540542546,8.006269407254754,0.011326388841258124,14.292840461017306,1519.1256384161725,1.6884964282090797,124.58333727565457,6-10,283,4.926357174022453,0.021468496457854928,0.12653808030776403
EJ200_xm200,EJ-200,-200,right,2,Cherenkov,900.0,120404,899.6724259920761,1.3035971540542546,8.006269407254754,0.011326388841258124,14.292840461017306,1519.1256384161725,1.6884964282090797,124.58333727565457,>10,119975,8.017426432747907,0.011262745971588701,14.308471393884872
EJ200_xp0,EJ-200,0,left,1,scintillation,700.0,5124694,688.4339290213611,90.63017105602736,5.106702459278121,0.0011886185876246902,6.707197665701372,968.9576854177214,1.4216573087205637,148.51558183503315,0,79405,0.21805658441329154,0.0030541139860869224,0.7314698722975391
EJ200_xp0,EJ-200,0,left,1,scintillation,700.0,5124694,688.4339290213611,90.63017105602736,5.106702459278121,0.0011886185876246902,6.707197665701372,968.9576854177214,1.4216573087205637,148.51558183503315,1-2,44165,3.547930726812921,0.003703908646997825,0.5742911681535645
EJ200_xp0,EJ-200,0,left,1,scintillation,700.0,5124694,688.4339290213611,90.63017105602736,5.106702459278121,0.0011886185876246902,6.707197665701372,968.9576854177214,1.4216573087205637,148.51558183503315,3-5,139344,3.7148238646700182,0.0014250804718948485,0.23731270514796599
EJ200_xp0,EJ-200,0,left,1,scintillation,700.0,5124694,688.4339290213611,90.63017105602736,5.106702459278121,0.0011886185876246902,6.707197665701372,968.9576854177214,1.4216573087205637,148.51558183503315,6-10,342628,3.8709140211499617,0.000903674339521546,0.19167644024446062
EJ200_xp0,EJ-200,0,left,1,scintillation,700.0,5124694,688.4339290213611,90.63017105602736,5.106702459278121,0.0011886185876246902,6.707197665701372,968.9576854177214,1.4216573087205637,148.51558183503315,>10,4519152,5.344444347828012,0.0012683976526211222,6.889901763330531
EJ200_xp0,EJ-200,0,right,1,scintillation,700.0,5122329,688.5299226162463,90.47410510928357,5.107354995586559,0.0011411695808424436,6.716476417451535,969.0813587959032,1.423405856059102,148.53299261403416,0,79096,0.2178184251934834,0.0030416490700561436,0.729976296618322
EJ200_xp0,EJ-200,0,right,1,scintillation,700.0,5122329,688.5299226162463,90.47410510928357,5.107354995586559,0.0011411695808424436,6.716476417451535,969.0813587959032,1.423405856059102,148.53299261403416,1-2,44630,3.539475029457224,0.003624391341863713,0.5827233909895533
EJ200_xp0,EJ-200,0,right,1,scintillation,700.0,5122329,688.5299226162463,90.47410510928357,5.107354995586559,0.0011411695808424436,6.716476417451535,969.0813587959032,1.423405856059102,148.53299261403416,3-5,139678,3.718157216719386,0.0013276330000442284,0.24217820905059817
EJ200_xp0,EJ-200,0,right,1,scintillation,700.0,5122329,688.5299226162463,90.47410510928357,5.107354995586559,0.0011411695808424436,6.716476417451535,969.0813587959032,1.423405856059102,148.53299261403416,6-10,344112,3.8722228298671295,0.0007564803212156727,0.19391194588175154
