event_id,detected,matched_boundary_detection,orphan_standard_SD,orphan_fraction_of_detected
596,4973,4903,70,0.014076010456464911
597,5272,5182,90,0.01707132018209408
598,4341,4269,72,0.0165860400829302
599,4436,4373,63,0.014201983769161406
600,5930,5824,106,0.0178752107925801
601,5156,5078,78,0.015128006206361521
602,5883,5777,106,0.018018018018018018
603,7173,7071,102,0.014219991635299039
604,5274,5204,70,0.013272658323852863
605,4405,4336,69,0.015664018161180477
606,5972,5874,98,0.01640991292699263
607,4875,4801,74,0.015179487179487179
608,4706,4636,70,0.014874628134296642
609,4726,4657,69,0.014600084638171815
610,5597,5518,79,0.01411470430587815
611,4590,4509,81,0.01764705882352941
612,4638,4569,69,0.014877102199223804
613,7547,7422,125,0.016562872664634954
614,4896,4825,71,0.014501633986928105
615,5011,4932,79,0.015765316304130913
616,5383,5298,85,0.015790451421140626
617,4585,4503,82,0.017884405670665213
618,4603,4540,63,0.013686726048229415
619,5372,5298,74,0.013775130305286671
620,5246,5164,82,0.015630956919557758
621,5739,5646,93,0.01620491374803973
622,5073,5007,66,0.013010053222945003
623,4594,4527,67,0.014584240313452328
624,5147,5069,78,0.015154458908101806
625,4585,4508,77,0.016793893129770993
626,4570,4506,64,0.01400437636761488
627,4958,4870,88,0.017749092375958047
628,4511,4441,70,0.015517623586787852
629,4661,4590,71,0.015232782664664235
630,5392,5312,80,0.01483679525222552
631,7571,7456,115,0.015189539030511161
632,4719,4637,82,0.017376562831108285
633,4783,4699,84,0.017562199456408113
634,8848,8720,128,0.014466546112115732
635,5251,5162,89,0.01694915254237288
636,4988,4921,67,0.01343223736968725
637,4464,4393,71,0.015905017921146954
638,4809,4738,71,0.014763984196298607
639,5923,5832,91,0.015363835893972649
640,7745,7624,121,0.015622982569399613
641,4771,4700,71,0.014881576189478097
642,4572,4504,68,0.014873140857392825
643,5267,5198,69,0.013100436681222707
644,5325,5255,70,0.013145539906103286
645,4700,4625,75,0.015957446808510637
646,4750,4681,69,0.014526315789473684
647,7965,7834,131,0.016446955430006276
648,4443,4387,56,0.012604096331307674
649,11178,11033,145,0.012971909107174807
650,6472,6368,104,0.016069221260815822
651,5274,5185,89,0.01687523701175578
652,5186,5103,83,0.01600462784419591
653,4824,4752,72,0.014925373134328358
654,4522,4445,77,0.017027863777089782
655,4463,4394,69,0.01546045261035178
656,5205,5131,74,0.014217098943323727
657,4774,4696,78,0.016338500209467952
658,5148,5080,68,0.01320901320901321
659,4746,4682,64,0.0134850400337126
660,6250,6150,100,0.016
661,6456,6363,93,0.014405204460966542
662,4683,4615,68,0.01452060644885757
663,5083,4997,86,0.016919142238835335
664,9559,9423,136,0.014227429647452662
665,4713,4643,70,0.014852535539995756
666,4598,4539,59,0.01283166594171379
667,6273,6185,88,0.014028375577873425
668,5970,5887,83,0.01390284757118928
669,4892,4818,74,0.015126737530662305
670,5440,5364,76,0.013970588235294118
671,4594,4519,75,0.016325642141924248
672,4875,4791,84,0.01723076923076923
673,4480,4414,66,0.014732142857142857
674,5405,5313,92,0.01702127659574468
675,4663,4573,90,0.019300879262277505
676,4979,4901,78,0.015665796344647518
677,5369,5296,73,0.013596572918606817
678,5539,5461,78,0.014081964253475356
679,4885,4818,67,0.013715455475946776
680,4688,4605,83,0.017704778156996587
681,4715,4646,69,0.014634146341463415
682,6461,6353,108,0.016715678687509672
683,6831,6740,91,0.01332162201727419
684,5204,5116,88,0.016910069177555727
685,5411,5316,95,0.017556828682313806
686,4388,4315,73,0.016636280765724702
687,4595,4525,70,0.015233949945593036
688,6470,6384,86,0.013292117465224112
689,5340,5251,89,0.016666666666666666
690,5415,5328,87,0.016066481994459834
691,5643,5567,76,0.013468013468013467
692,5886,5813,73,0.012402310567448182
693,4615,4536,79,0.017118093174431203
694,6004,5909,95,0.015822784810126583
695,5781,5682,99,0.017125064867669952
696,4302,4241,61,0.014179451417945141
697,4871,4795,76,0.01560254567850544
698,5014,4941,73,0.014559234144395692
699,13391,13194,197,0.01471137331043238
700,5121,5050,71,0.01386447959382933
701,5025,4954,71,0.014129353233830846
702,4665,4581,84,0.0180064308681672
703,4757,4681,76,0.015976455749421904
704,4842,4771,71,0.01466336224700537
705,4755,4697,58,0.012197686645636172
706,4700,4613,87,0.01851063829787234
707,4992,4914,78,0.015625
708,4811,4734,77,0.016004988567865308
709,4357,4304,53,0.012164333256828093
710,4863,4790,73,0.015011309891013777
711,5205,5123,82,0.015754082612872238
712,5307,5232,75,0.014132278123233465
713,4392,4317,75,0.01707650273224044
714,4884,4808,76,0.015561015561015561
715,4536,4466,70,0.015432098765432098
716,5297,5226,71,0.013403813479327922
717,5162,5088,74,0.014335528864781092
718,5189,5088,101,0.019464251300828676
719,5287,5209,78,0.014753168148288254
