event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,photon_equivalent_energy_MeV,equivalent_minus_nonoptical_MeV
133,17136,1.6344095938366072,0.025937808280017828,1.6084717855565893,1.6476923076923078,0.03922052213571847
134,18446,1.7801183406458088,0.028130101260968512,1.7519882393848403,1.7736538461538462,0.021665606769005974
135,18073,1.759102234193498,0.027399804120682887,1.7317024300728152,1.7377884615384616,0.0060860314656463466
136,20524,1.9750178185687128,0.030707701660496457,1.9443101169082164,1.9734615384615384,0.029151421553321955
137,21922,2.1085573707301157,0.03323090335538324,2.0753264673747327,2.1078846153846156,0.03255814800988288
138,17741,1.705493418816086,0.02712587403955981,1.678367544776526,1.7058653846153846,0.027497839838858562
139,17918,1.7106320604223844,0.027237213357989006,1.6833948470643953,1.7228846153846153,0.03948976832022
140,15952,1.5290577118285151,0.02413212252196451,1.5049255893065505,1.5338461538461539,0.028920564539603344
141,15948,1.5410229679315934,0.024355598463341167,1.5166673694682522,1.5334615384615384,0.01679416899328623
142,20904,2.0200909662586555,0.0317631964029994,1.988327769855656,2.01,0.021672230144343718
143,17235,1.661720939269609,0.026392859236894488,1.6353280800327146,1.6572115384615385,0.021883458428823888
144,19801,1.9041328804385274,0.029596261004178222,1.8745366194343491,1.9039423076923077,0.02940568825795853
145,40098,3.835327791622988,0.06040674853860622,3.774921043084382,3.855576923076923,0.0806558799925412
146,25493,2.4681092219901606,0.038637496544283806,2.4294717254458766,2.45125,0.02177827455412329
147,17507,1.7129095762392361,0.02664856366468853,1.6862610125745476,1.6833653846153847,-0.002895627959162983
148,25570,2.453330483471095,0.0386528114492203,2.4146776720218748,2.458653846153846,0.0439761741319713
149,18984,1.8411480431166727,0.029039040842485105,1.8121090022741875,1.8253846153846154,0.013275613110427908
150,28788,2.7545441506409607,0.04344405803430558,2.7111000926066553,2.768076923076923,0.0569768304702678
151,21401,2.059414646935614,0.03237182908733384,2.02704281784828,2.0577884615384616,0.030745643690181623
152,35975,3.449217978952515,0.05462504698720905,3.394592931965306,3.4591346153846154,0.06454168341930933
153,21882,2.0908119518284165,0.03331447881677552,2.057497473011641,2.1040384615384617,0.04654098852682065
154,15055,1.453246333414381,0.02292382129942118,1.4303225121149599,1.447596153846154,0.017273641731194056
155,17524,1.7001160670674407,0.02694381441976445,1.6731722526476762,1.685,0.011827747352323836
156,18434,1.7624999027798052,0.028212966423207593,1.7342869363565976,1.7725,0.03821306364340238
157,19057,1.8255428727596155,0.029162918080829492,1.796379954678786,1.832403846153846,0.03602389147506013
158,24381,2.3360082212984614,0.0369632403259023,2.299044980972559,2.344326923076923,0.04528194210436398
159,27885,2.673162184456319,0.04224152270591442,2.630920661750405,2.68125,0.05032933824959507
