run_tag,event_id,track_id,global_id,detected_end_side,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary,first_detection_time_ns,gun_x_mm
x0mm,0,173,12,1,30,0,30,1,0,3.69167634441,0
x0mm,0,170,2,0,21,0,21,1,0,6.99307469836,0
x0mm,0,163,12,1,20,0,20,1,0,9.82058754443,0
x0mm,0,157,9,1,23,0,23,1,0,5.25605969057,0
x0mm,0,149,11,1,46,0,46,1,0,5.81255156536,0
x0mm,0,144,13,1,14,0,14,1,0,8.07383047811,0
x0mm,0,143,10,1,14,0,14,1,0,6.0391323058,0
x0mm,0,141,3,0,7,0,7,1,0,6.68924985203,0
x0mm,0,76,12,1,64,0,64,1,0,3.4039826419,0
x0mm,0,73,13,1,95,0,95,1,0,4.59191068355,0
x0mm,0,69,12,1,99,0,99,1,0,4.735580885,0
x0mm,0,65,15,1,288,0,288,1,0,12.8688230888,0
x0mm,0,47,13,1,60,0,60,1,0,3.28858463471,0
x0mm,0,14,1,0,68,0,68,1,0,3.53268089295,0
x0mm,0,4710,3,0,89,0,89,1,0,6.0642798966,0
x0mm,0,4696,5,0,95,0,95,1,0,6.91876008258,0
x0mm,0,4691,12,1,73,0,73,1,0,4.9305222224,0
x0mm,0,4682,8,1,5,0,5,1,0,4.27805050062,0
x0mm,0,4677,6,0,6,0,6,1,0,7.12580873123,0
x0mm,0,4668,4,0,11,0,11,1,0,4.06402748114,0
x0mm,0,4657,4,0,34,0,34,1,0,8.2070517883,0
x0mm,0,4715,4,0,0,0,0,0,0,9.70043283765,0
x0mm,0,4640,12,1,23,0,23,1,0,4.47195508047,0
x0mm,0,4639,9,1,47,0,47,1,0,5.04434561384,0
x0mm,0,4631,6,0,11,0,11,1,0,5.06919983848,0
x0mm,0,4622,3,0,71,0,71,1,0,5.86363622918,0
x0mm,0,4610,7,0,91,0,91,1,0,6.0584436229,0
x0mm,0,4600,5,0,2,0,2,1,0,4.06464515145,0
x0mm,0,4593,5,0,50,0,50,1,0,6.58509642303,0
x0mm,0,4577,0,0,44,0,44,1,0,4.84810581421,0
x0mm,0,4568,15,1,18,0,18,1,0,5.77717971739,0
x0mm,0,4555,15,1,15,0,15,1,0,4.53909529664,0
x0mm,0,4549,9,1,73,0,73,1,0,3.91412769076,0
x0mm,0,4548,9,1,86,0,86,1,0,6.86433984926,0
x0mm,0,4540,5,0,65,0,65,1,0,6.59929114118,0
x0mm,0,4717,5,0,0,0,0,0,0,7.1954778044,0
x0mm,0,4530,12,1,5,0,5,1,0,5.27050570412,0
x0mm,0,4522,13,1,57,0,57,1,0,3.84683208163,0
x0mm,0,4513,8,1,24,0,24,1,0,9.70175426038,0
x0mm,0,4496,15,1,52,0,52,1,0,3.97641273609,0
x0mm,0,4490,0,0,6,0,6,1,0,5.66515136379,0
x0mm,0,4478,14,1,16,0,16,1,0,3.72637317761,0
x0mm,0,4474,3,0,20,0,20,1,0,5.9727247381,0
x0mm,0,4465,3,0,24,0,24,1,0,4.32217618319,0
x0mm,0,4459,2,0,31,0,31,1,0,6.7496723401,0
x0mm,0,4456,6,0,19,0,19,1,0,5.8111875201,0
x0mm,0,4445,15,1,111,0,111,1,0,7.36084712074,0
x0mm,0,4440,2,0,285,0,285,1,0,14.6613586151,0
x0mm,0,4436,0,0,85,0,85,1,0,8.46658047564,0
x0mm,0,4426,4,0,67,0,67,1,0,6.53003319248,0
x0mm,0,4423,11,1,35,0,35,1,0,6.26501708548,0
x0mm,0,4417,13,1,158,0,158,1,0,7.51004793264,0
x0mm,0,4409,9,1,18,0,18,1,0,4.57757166682,0
x0mm,0,4387,4,0,6,0,6,1,0,6.75536408195,0
x0mm,0,4374,15,1,15,0,15,1,0,6.02550910572,0
x0mm,0,4718,11,1,13,0,13,1,0,6.25064829852,0
x0mm,0,4367,14,1,114,0,114,1,0,7.66139738536,0
x0mm,0,4325,3,0,34,23,34,1,1,6.87596877326,0
x0mm,0,4323,4,0,78,0,78,1,0,5.56229500092,0
x0mm,0,4316,4,0,36,0,36,1,0,6.6200259506,0
x0mm,0,4313,12,1,23,0,23,1,0,3.13749544802,0
x0mm,0,4306,6,0,48,21,43,1,1,5.6556726697,0
x0mm,0,4300,13,1,96,0,96,1,0,8.28698204728,0
x0mm,0,4286,13,1,15,0,15,1,0,6.32212375401,0
x0mm,0,4280,4,0,76,0,76,1,0,4.96067256623,0
x0mm,0,4276,3,0,29,0,29,1,0,3.18030376945,0
x0mm,0,4275,15,1,56,0,56,1,0,4.12805179758,0
x0mm,0,4242,2,0,9,18,8,1,1,4.88776634162,0
x0mm,0,4196,15,1,43,0,43,1,0,13.0884312356,0
x0mm,0,4186,5,0,25,0,25,1,0,4.04333850601,0
x0mm,0,4181,3,0,27,0,27,1,0,5.1746741803,0
x0mm,0,4178,13,1,47,0,47,1,0,4.2560833693,0
x0mm,0,4172,10,1,40,0,40,1,0,5.54262920714,0
x0mm,0,4163,4,0,55,0,55,1,0,4.38452235088,0
x0mm,0,4150,10,1,63,0,63,1,0,5.50815364259,0
x0mm,0,4125,2,0,15,0,15,1,0,4.32699726997,0
x0mm,0,4115,4,0,16,0,16,1,0,3.09090340408,0
x0mm,0,4108,7,0,44,0,44,1,0,4.90428028067,0
x0mm,0,4100,14,1,109,0,109,1,0,8.43971416016,0
x0mm,0,4079,2,0,34,0,34,1,0,9.74163143945,0
x0mm,0,4075,7,0,34,0,34,1,0,4.25145056346,0
x0mm,0,4073,2,0,53,0,53,1,0,4.05664066524,0
x0mm,0,4070,9,1,19,0,19,1,0,4.00412105433,0
x0mm,0,4057,8,1,29,0,29,1,0,3.31533177902,0
x0mm,0,4023,9,1,22,0,22,1,0,4.61719693001,0
x0mm,0,4011,7,0,57,0,57,1,0,5.90271916097,0
x0mm,0,3997,13,1,94,0,94,1,0,5.15364774381,0
x0mm,0,3994,4,0,34,0,34,1,0,9.31606202298,0
x0mm,0,3993,1,0,67,0,67,1,0,7.77081287384,0
x0mm,0,3984,7,0,56,0,56,1,0,4.79495441645,0
x0mm,0,3974,8,1,73,0,73,1,0,9.95928056081,0
x0mm,0,3971,3,0,8,0,8,1,0,3.81646301522,0
x0mm,0,3958,3,0,73,0,73,1,0,4.0112392858,0
x0mm,0,3945,3,0,8,0,8,1,0,4.21294609391,0
x0mm,0,3938,10,1,20,0,20,1,0,4.62007656376,0
x0mm,0,3931,7,0,20,0,20,1,0,6.88151564459,0
x0mm,0,3917,2,0,55,0,55,1,0,5.38728265294,0
x0mm,0,3914,0,0,345,0,345,1,0,15.1367527755,0
x0mm,0,3912,12,1,44,0,44,1,0,4.40077986501,0
x0mm,0,3900,10,1,11,0,11,1,0,4.37715869427,0
x0mm,0,3892,13,1,6,30,6,1,1,8.21242824701,0
x0mm,0,3885,4,0,29,0,29,1,0,4.12076937956,0
x0mm,0,3849,3,0,54,0,54,1,0,3.63771595524,0
x0mm,0,3844,11,1,10,0,10,1,0,3.57379049376,0
x0mm,0,3843,7,0,45,0,45,1,0,6.47835431473,0
x0mm,0,3829,2,0,59,0,59,1,0,7.99372320713,0
x0mm,0,3827,11,1,29,0,29,1,0,4.59461760271,0
x0mm,0,3815,5,0,41,0,41,1,0,6.42068423686,0
x0mm,0,3809,9,1,106,0,106,1,0,6.93701629051,0
x0mm,0,3799,6,0,83,0,83,1,0,5.3225307627,0
x0mm,0,3771,10,1,44,0,44,1,0,6.78117082023,0
x0mm,0,3759,6,0,42,18,39,1,1,5.95216563598,0
x0mm,0,3757,8,1,104,0,104,1,0,6.46115650716,0
x0mm,0,3751,3,0,39,0,39,1,0,4.24632528676,0
x0mm,0,3749,14,1,9,0,9,1,0,3.78241974784,0
x0mm,0,3748,6,0,15,0,15,1,0,4.26582803564,0
x0mm,0,3704,11,1,11,0,11,1,0,9.17259126321,0
x0mm,0,4726,7,0,7,0,7,1,0,16.4805458525,0
x0mm,0,3693,9,1,23,0,23,1,0,5.24963250086,0
x0mm,0,3669,8,1,50,0,50,1,0,8.38843801007,0
x0mm,0,3660,1,0,28,0,28,1,0,4.2765379628,0
x0mm,0,3647,12,1,92,0,92,1,0,7.75246289214,0
x0mm,0,3637,15,1,23,0,23,1,0,4.38891055381,0
x0mm,0,3635,8,1,76,0,76,1,0,5.43045900041,0
x0mm,0,3622,12,1,82,0,82,1,0,12.1400091262,0
x0mm,0,3613,15,1,10,0,10,1,0,4.33949239055,0
x0mm,0,3610,3,0,124,0,124,1,0,6.88932512049,0
x0mm,0,3588,7,0,59,0,59,1,0,8.2308836323,0
x0mm,0,3575,10,1,42,0,42,1,0,4.69693663551,0
x0mm,0,3573,0,0,9,0,9,1,0,5.53924818323,0
x0mm,0,3570,6,0,19,0,19,1,0,3.68907686102,0
x0mm,0,3564,14,1,57,0,57,1,0,5.85401841723,0
x0mm,0,3563,6,0,38,0,38,1,0,4.2740825978,0
x0mm,0,3540,1,0,14,0,14,1,0,3.06220096732,0
x0mm,0,3529,5,0,38,0,38,1,0,10.6172965532,0
x0mm,0,3498,13,1,48,0,48,1,0,3.72245428371,0
x0mm,0,3493,1,0,92,0,92,1,0,6.35477730058,0
x0mm,0,3492,15,1,65,0,65,1,0,4.81015445697,0
x0mm,0,3472,6,0,47,0,47,1,0,4.22803028167,0
x0mm,0,3467,2,0,28,0,28,1,0,4.49534463752,0
x0mm,0,3450,10,1,52,0,52,1,0,3.44350965165,0
x0mm,0,3441,6,0,36,0,36,1,0,3.95201905924,0
x0mm,0,3429,6,0,22,0,22,1,0,4.37230466323,0
x0mm,0,4732,8,1,63,0,63,1,0,6.31924458713,0
x0mm,0,3404,8,1,141,0,141,1,0,7.17938138,0
x0mm,0,3395,6,0,14,0,14,1,0,5.50822204236,0
x0mm,0,3390,1,0,32,0,32,1,0,5.24387540137,0
x0mm,0,3380,3,0,21,0,21,1,0,5.53666215931,0
x0mm,0,3362,14,1,17,0,17,1,0,7.10662130814,0
x0mm,0,3359,10,1,32,0,32,1,0,7.18882287663,0
x0mm,0,3349,0,0,37,0,37,1,0,4.72576052543,0
x0mm,0,3348,4,0,27,0,27,1,0,4.78042877418,0
x0mm,0,3341,10,1,36,0,36,1,0,5.01254070677,0
x0mm,0,3331,3,0,35,0,35,1,0,4.19918975007,0
x0mm,0,3301,5,0,25,0,25,1,0,4.68813410929,0
x0mm,0,3294,12,1,69,0,69,1,0,3.78008430964,0
x0mm,0,3283,6,0,80,0,80,1,0,6.27541248085,0
