event_id,produced_scint,produced_optical,detected_left,detected_right,detected_top,edep_total_MeV,edep_nonionizing_MeV,edep_ionizing_MeV,edep_optical_MeV,gun_x_mm
1020,16202,17239,355,325,3882,1.5677403838904738,0.0,1.5677403838904738,0.024707554350541776,0.0
1021,16395,17428,330,335,3915,1.5882428434452955,0.0,1.5882428434452955,0.025014083247595083,0.0
1022,21241,22268,428,443,5192,2.048410866397083,0.0,2.048410866397083,0.03259589596340769,0.0
1023,19740,20766,399,410,4819,1.8810012010002595,0.0,1.8810012010002595,0.030305118689323857,0.0
1024,19221,20184,408,362,4568,1.8444620861007974,0.0,1.8444620861007974,0.029208318754503172,0.0
1025,18669,19713,377,384,4473,1.7795895608101833,0.0,1.7795895608101833,0.028427404470915445,0.0
1026,17059,18122,353,358,4029,1.6562198316162555,0.0,1.6562198316162555,0.026050635505714317,0.0
1027,17520,18486,348,363,4166,1.6912407254810624,0.0,1.6912407254810624,0.026449833615054513,0.0
1028,19560,20543,388,345,4705,1.8675311190211548,0.0,1.8675311190211548,0.029839880270234646,0.0
1029,17138,18143,341,328,4013,1.6519590190311397,0.0,1.6519590190311397,0.02573653844501201,0.0
1030,18737,19723,367,396,4414,1.8096626470062942,0.0,1.8096626470062942,0.028309734100941363,0.0
1031,16328,17352,347,363,3927,1.5665147738150955,0.0,1.5665147738150955,0.024904376482617743,0.0
1032,20131,21185,372,423,4700,1.9349462126642125,0.0,1.9349462126642125,0.030355832812593662,0.0
1033,16465,17459,304,326,3928,1.5770309673343372,0.0,1.5770309673343372,0.025152124570192853,0.0
1034,19088,20121,370,371,4619,1.834630059057213,0.0,1.834630059057213,0.02908614645289179,0.0
1035,16957,17995,336,312,4125,1.6358078869064407,0.0,1.6358078869064407,0.025914346642020535,0.0
1036,17568,18561,357,355,4135,1.6817435548308979,0.0,1.6817435548308979,0.026594919193742017,0.0
1037,18629,19673,387,378,4458,1.7975474958580817,0.0,1.7975474958580817,0.02829722993085826,0.0
1038,19911,20895,383,419,4668,1.9212835307461822,0.0,1.9212835307461822,0.029835674539368286,0.0
1039,15771,16774,292,313,3769,1.534720523229998,0.0,1.534720523229998,0.02402771814908993,0.0
1040,18973,19987,406,357,4522,1.8185303188632926,0.0,1.8185303188632926,0.028833804314041707,0.0
1041,14524,15614,299,292,3546,1.4177524004043947,0.0,1.4177524004043947,0.022588340309891253,0.0
1042,19265,20315,330,373,4624,1.8651101976958102,0.0,1.8651101976958102,0.029126915569166047,0.0
1043,18406,19426,374,374,4527,1.7649022326338473,0.0,1.7649022326338473,0.028266866293751795,0.0
1044,19365,20380,385,370,4553,1.8504253464831426,0.0,1.8504253464831426,0.029154247339857484,0.0
1045,17547,18588,368,369,4174,1.6988064592144647,0.0,1.6988064592144647,0.026560334176842552,0.0
1046,16983,18038,331,349,4094,1.630231438268561,0.0,1.630231438268561,0.025993320927261778,0.0
1047,19580,20580,382,378,4630,1.8807981954951212,0.0,1.8807981954951212,0.029725334474520197,0.0
1048,19983,21107,399,353,4745,1.915543326437313,0.0,1.915543326437313,0.03050097365021138,0.0
1049,23860,24938,450,502,5631,2.300932741690729,0.0,2.300932741690729,0.03616541471991281,0.0
1050,24996,26231,504,533,5862,2.4029204292226245,0.0,2.4029204292226245,0.037794086286145404,0.0
1051,19252,20292,352,374,4600,1.825490874460178,0.0,1.825490874460178,0.029520205077442647,0.0
1052,18263,19256,320,379,4400,1.7606015682575964,0.0,1.7606015682575964,0.02777537561381235,0.0
1053,17418,18382,347,330,4164,1.677211387553944,0.0,1.677211387553944,0.026853545378006195,0.0
1054,24611,25713,498,467,5881,2.3553160594514835,0.0,2.3553160594514835,0.037180251047169315,0.0
1055,35253,36975,697,727,8300,3.357102685012541,0.0,3.357102685012541,0.05364546835268403,0.0
1056,17725,18769,351,366,4324,1.6876755944040494,0.0,1.6876755944040494,0.02745846535976281,0.0
1057,18370,19408,335,388,4387,1.7870032534112994,0.0,1.7870032534112994,0.027802889747036087,0.0
